Country Name;Country Code;GDP PPP;Gini;Surf;toursim_export_share;visiting_tourists;outbound_tourists;population;Notes
Saudi Arabia;SAU;44954.99119;;2149690;6.94361064;20292000;27196000;35827362;
Senegal;SEN;3430.483882;38.1;192530;10.53519996;1376000;;16000781;
Serbia;SRB;18306.8119;35;87460;7.654856269;1847000;;6945235;
Seychelles;SYC;29369.52873;32.1;460;29.64518066;428000;76000;97625;
Sierra Leone;SLE;1655.68517;35.7;72180;4.045863137;71000;122000;8046828;
Singapore;SGP;98283.30891;;716;3.066715429;19116000;10711000;5703569;
Sint Maarten (Dutch part);SXM;;;34;64.91044242;1952000;;41608;
Slovak Republic;SVK;31973.46163;23.2;48080;3.458646542;15299000;5214000;5454147;
Slovenia;SVN;39034.23325;24;20136.4;7.366874242;4702000;6049000;2088385;
Solomon Islands;SLB;2616.863043;37.1;27990;13.86792322;28899.99962;;674993;
Somalia;SOM;1138.285937;;627340;;;;15981300;
South Africa;ZAF;13852.20597;63;1213090;8.551907807;14797000;;58087055;
South Sudan;SSD;;44.1;631930;0.387776008;;;10447666;
Spain;ESP;40760.30896;34.9;499570.036;16.3;126170000;22816000;47134837;manual tourism export share
Sri Lanka;LKA;13639.02189;37.7;61864.47;24.01835009;2027000;1441000;21803000;
St. Kitts and Nevis;KNA;31194.73719;;260;61.38528;1107000;;47712;
St. Lucia;LCA;15460.80076;51.2;610;88.77486525;1220000;;178583;
St. Martin (French part);MAF;;;50;;;;33121;
St. Vincent and the Grenadines;VCT;14189.96035;;390;77.86021141;392000;;104924;
Sudan;SDN;4133.130371;34.2;1868000;20.87792437;836000;;43232093;
Suriname;SUR;18449.19921;;156000;2.798731789;279000;;600301;
Sweden;SWE;52850.56918;28.9;407283.59;4.299293655;7616000;19061000;10278887;
Switzerland;CHE;70857.08908;33.1;39516.03;4.442379576;11818000;19797000;8575280;
Syrian Arab Republic;SYR;;;183630;;2424000;3863000;20098251;
Taiwan;TWN;50150.27971;33.7;35980;;;;23570000;
Tajikistan;TJK;3575.279713;34;138790;14.40295948;1035000;31000;9337003;
Tanzania;TZA;2577.665771;40.5;885800;27.17274071;1527000;;59872579;
Thailand;THA;18003.67145;35.1;510890;19.87505626;39916000;10446000;71307763;
Timor-Leste;TLS;3737.796428;28.7;14870;64.00151534;74800.00305;;1280438;
Togo;TGO;2080.524243;42.4;54390;15.85455304;876000;269000;8243094;
