,departure_continent,departure_continent_name,arrival_continent,arrival_continent_name,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat
14,EU,Europe,EU,Europe,1023187863.6901423,1107244282780.349,27484263271.165802,86850271936.88394,86.85027193688394,1107.244282780349,1023.1878636901423,10.0,51.0,0.0,51.0
15,EU,Europe,NA,North America,66493798.123750366,469060656034.5427,11885147582.044182,37557066359.25961,37.557066359259615,469.0606560345428,66.49379812375037,10.0,51.0,-119.0,51.0000002
16,EU,Europe,OC,Oceania,441477.8381463178,7268406410.151123,216937873.02852985,685523678.7701545,0.6855236787701544,7.268406410151123,0.4414778381463178,10.0,51.0,163.7741688,-12.7725835
17,EU,Europe,SA,South America,9739565.400243994,89249801873.9071,2273431266.537656,7184042802.258992,7.184042802258992,89.2498018739071,9.739565400243993,10.0,51.0,-71.00065649999999,-21.0002179
18,NA,North America,AF,Africa,1883998.2678185748,17430453804.955482,446843865.4781028,1412026614.910805,1.412026614910805,17.430453804955484,1.883998267818575,-109.0,51.0000002,7.7578122,11.5024338
19,NA,North America,AS,Asia,29007118.886487458,314407220470.1493,8633366793.018948,27281439065.939877,27.281439065939875,314.4072204701493,29.007118886487458,-109.0,51.0000002,79.2343748,51.2086975
20,NA,North America,EU,Europe,66493798.123750366,469060656034.5427,11885147582.044182,37557066359.25961,37.557066359259615,469.0606560345428,66.49379812375037,-109.0,51.0000002,0.0,51.0
21,NA,North America,NA,North America,1258925739.3240118,1811721383187.4707,45864220038.576805,144930935321.9027,144.93093532190272,1811.7213831874706,1258.9257393240118,-109.0,51.0000002,-119.0,51.0000002
22,NA,North America,OC,Oceania,14288922.624094516,89744576133.97408,2189666221.934954,6919345261.314456,6.919345261314456,89.74457613397406,14.288922624094516,-109.0,51.0000002,163.7741688,-12.7725835
23,NA,North America,SA,South America,19022258.176377416,78645171430.85344,1906513607.035004,6024582998.230613,6.0245829982306125,78.64517143085344,19.022258176377413,-109.0,51.0000002,-71.00065649999999,-21.0002179
24,OC,Oceania,AF,Africa,234813.93599999996,2201038925.3844757,57627369.829215884,182102488.6603222,0.1821024886603222,2.2010389253844758,0.23481393599999995,173.7741688,-12.7725835,7.7578122,11.5024338
25,OC,Oceania,AS,Asia,24993158.925584443,176047561897.71198,4413026119.905829,13945162538.902422,13.945162538902423,176.047561897712,24.993158925584446,173.7741688,-12.7725835,79.2343748,51.2086975
26,OC,Oceania,EU,Europe,441477.8381463178,7268406410.151124,216937873.02852985,685523678.7701544,0.6855236787701544,7.268406410151123,0.4414778381463178,173.7741688,-12.7725835,0.0,51.0
27,OC,Oceania,NA,North America,14288922.624094516,89744576133.97408,2189666221.934954,6919345261.314456,6.919345261314456,89.74457613397406,14.288922624094516,173.7741688,-12.7725835,-119.0,51.0000002
28,OC,Oceania,OC,Oceania,128069866.37820727,148245157620.05045,3841258174.632452,12138375831.838549,12.138375831838548,148.24515762005043,128.06986637820728,173.7741688,-12.7725835,163.7741688,-12.7725835
29,OC,Oceania,SA,South America,320789.3219999998,3414570645.0500765,92099104.35119027,291033169.74976134,0.29103316974976134,3.414570645050077,0.32078932199999977,173.7741688,-12.7725835,-71.00065649999999,-21.0002179
30,SA,South America,AF,Africa,559250.5069468577,4059008163.3939843,98486698.12852149,311217966.08612794,0.3112179660861279,4.059008163393984,0.5592505069468577,-61.0006565,-21.0002179,7.7578122,11.5024338
31,SA,South America,AS,Asia,626067.026304381,7747617788.566826,214485923.0487555,677775516.8340675,0.6777755168340674,7.747617788566826,0.626067026304381,-61.0006565,-21.0002179,79.2343748,51.2086975
32,SA,South America,EU,Europe,9739565.400243994,89249801873.9071,2273431266.537656,7184042802.258992,7.184042802258992,89.2498018739071,9.739565400243993,-61.0006565,-21.0002179,0.0,51.0
33,SA,South America,NA,North America,19022258.176377416,78645171430.85344,1906513607.035004,6024582998.230613,6.0245829982306125,78.64517143085344,19.022258176377413,-61.0006565,-21.0002179,-119.0,51.0000002
